sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Divvy","5057",,2019-07-08 13:17:01 -0600,2019-07-08 12:40:34 -0600,2019-07-08 12:48:13 -0600,"HKWorkoutActivityTypeCycling",7.65465000073115,"min",,,,
"Divvy","5057",,2019-07-08 13:38:15 -0600,2019-07-08 13:17:25 -0600,2019-07-08 13:31:58 -0600,"HKWorkoutActivityTypeCycling",14.54826666514079,"min",,,,
"Divvy","5057",,2019-07-08 18:12:54 -0600,2019-07-08 16:53:54 -0600,2019-07-08 17:18:04 -0600,"HKWorkoutActivityTypeCycling",24.15525000095368,"min",,,,
"Divvy","5057",,2019-07-09 07:42:11 -0600,2019-07-09 07:04:02 -0600,2019-07-09 07:31:53 -0600,"HKWorkoutActivityTypeCycling",27.83415000041326,"min",,,,
"Divvy","5057",,2019-07-09 08:00:22 -0600,2019-07-09 07:42:29 -0600,2019-07-09 07:56:35 -0600,"HKWorkoutActivityTypeCycling",14.09548333485921,"min",,,,
"Divvy","5057",,2019-07-09 17:04:12 -0600,2019-07-09 13:41:02 -0600,2019-07-09 13:48:28 -0600,"HKWorkoutActivityTypeCycling",7.439466667175293,"min",,,,
"Divvy","5057",,2019-07-09 17:42:27 -0600,2019-07-09 17:04:30 -0600,2019-07-09 17:27:08 -0600,"HKWorkoutActivityTypeCycling",22.61971666415532,"min",,,,
"Divvy","5057",,2019-07-10 16:11:30 -0600,2019-07-10 07:50:08 -0600,2019-07-10 08:13:09 -0600,"HKWorkoutActivityTypeCycling",23.01299999952316,"min",,,,
"Divvy","5057",,2019-07-10 17:13:14 -0600,2019-07-10 16:13:53 -0600,2019-07-10 16:28:25 -0600,"HKWorkoutActivityTypeCycling",14.52225000063578,"min",,,,
"Divvy","5057",,2019-07-10 17:41:18 -0600,2019-07-10 17:13:30 -0600,2019-07-10 17:36:23 -0600,"HKWorkoutActivityTypeCycling",22.88281666835149,"min",,,,
"Divvy","5057",,2019-07-11 08:15:10 -0600,2019-07-11 07:50:11 -0600,2019-07-11 08:13:33 -0600,"HKWorkoutActivityTypeCycling",23.35771666765213,"min",,,,
"Divvy","5057",,2019-07-11 15:49:52 -0600,2019-07-11 15:22:07 -0600,2019-07-11 15:31:18 -0600,"HKWorkoutActivityTypeCycling",9.183550000190735,"min",,,,
"Divvy","5057",,2019-07-11 19:49:08 -0600,2019-07-11 19:29:50 -0600,2019-07-11 19:48:50 -0600,"HKWorkoutActivityTypeCycling",18.99965000152588,"min",,,,
"Divvy","5057",,2019-07-12 06:57:49 -0600,2019-07-12 06:33:13 -0600,2019-07-12 06:54:58 -0600,"HKWorkoutActivityTypeCycling",21.75310000181198,"min",,,,
"Divvy","5057",,2019-07-12 11:39:03 -0600,2019-07-12 11:23:46 -0600,2019-07-12 11:31:41 -0600,"HKWorkoutActivityTypeCycling",7.919600001970927,"min",,,,
"Divvy","5057",,2019-07-13 08:51:23 -0600,2019-07-12 17:04:49 -0600,2019-07-12 17:23:27 -0600,"HKWorkoutActivityTypeCycling",18.64583333333333,"min",,,,
"Divvy","5057",,2019-07-15 07:58:05 -0600,2019-07-13 08:51:48 -0600,2019-07-13 08:56:09 -0600,"HKWorkoutActivityTypeCycling",4.342766666412354,"min",,,,
"Divvy","5057",,2019-07-15 08:28:29 -0600,2019-07-15 07:58:33 -0600,2019-07-15 08:27:35 -0600,"HKWorkoutActivityTypeCycling",29.0465499997139,"min",,,,
"Divvy","5057",,2019-07-15 15:40:16 -0600,2019-07-15 11:58:49 -0600,2019-07-15 12:07:59 -0600,"HKWorkoutActivityTypeCycling",9.15765000184377,"min",,,,
"Divvy","5057",,2019-07-16 07:38:17 -0600,2019-07-15 15:40:46 -0600,2019-07-15 16:04:09 -0600,"HKWorkoutActivityTypeCycling",23.38528333107631,"min",,,,
"Divvy","5057",,2019-07-16 14:43:21 -0600,2019-07-16 07:44:01 -0600,2019-07-16 08:08:17 -0600,"HKWorkoutActivityTypeCycling",24.26408333381017,"min",,,,
"Divvy","5057",,2019-07-16 16:06:06 -0600,2019-07-16 14:43:53 -0600,2019-07-16 14:52:54 -0600,"HKWorkoutActivityTypeCycling",9.021666665871939,"min",,,,
